Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
,1998-99,Panini FIFA World Cup,Alessandro Del Piero,74,,9,,5/18/2024,eBay,$33.89,,,,,,,,
,2021-22,Prizm,Austin Reaves,165,Silver Prizm,,,5/20/2024,eBay,$8.13,,,,,,,,
,2021-22,SP Authentic,Tiger Woods,68,Authentic Moments,,,5/20/2024,eBay,$1.25,,,,,,,,
,1996-97,Topps Finest,Marcus Camby,82,Refractor RC,,,5/20/2024,eBay,$9.38,,,,,,,,
,2023-24,Prizm,Tyree Wilson,363,Silver Prizm,,,5/20/2024,eBay,$1.70,,,,,,,,
,2021-22,SP Authentic,Justin Thomas,EA-JT,Fairway Phenom,,,5/20/2024,eBay,$1.25,,,,,,,,
,2003-04,Fleer,Alex Rodriguez,NG,Patchworks,,,5/20/2024,eBay,$5.31,,,,,,,,
,2020-21,Select UEFA,Declan Rice,81,RC,,,5/20/2024,eBay,$1.25,,,,,,,,
Basketball,1993-94,Topps Finest,Tony Kukoc,14,Refractor RC,,,5/20/2024,eBay,$33.75,,,,,,,,
,1998-99,Stadium Club,Keith van Horn,T4B,Luminous,,,5/27/2024,eBay,$4.20,,,,,,,,
,1998-99,Stadium Club,Tim Duncan,T6C,Luminous,,,5/27/2024,eBay,$6.28,,,,,,,,
,1998-99,Stadium Club,Hakeem Olajuwon,T9C,Luminous,,,5/27/2024,eBay,$14.23,,,,,,,,
,2014-15,Topps Chrome,Khalil Mack,2,1985 mini refractor /50,,,5/30/2024,eBay,$25.71,,,,,,,,
,,,Patrick Ewing,,,,,,,$0.00,5/29/24,9.84,,,,,9.84,
,,,Calvin Johnson,,,,,,,$0.00,5/29/24,8.49,,,,,8.49,
,2014-15,Elite,Stephon Gilmore,,,,,6/1/0214,Break,$0.00,6/17/24,10,,,,,10.00,
,2022-23,Panini Donruss Optic,Heung-min Son,70,Purple ice /99,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2022-23,Panini Donruss Optic,Christian Pulisic,169,Pink ice /25,,,5/31/2024,Facebook,$5.00,7/23/24,17.89,,,,,12.89,2.5780
,2022-23,Panini Donruss Optic,Antoine Griezmann,12,Pink ice /25,,,5/31/2024,Facebook,$5.00,6/17/24,19.65,,,,,14.65,2.9300
,2022-23,Panini Donruss,Cristiano Ronaldo,18,Marvels,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2023-24,Topps Chrome UEFA UCL,Karim Benzema,ROY-KB,,,,5/31/2024,Facebook,$3.00,7/2/24,2.88,,,,,-0.12,-0.0400
,2022-23,Donruss,Tyler Adams,173,Purple sparkle /99,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2022-23,Donruss,Enzo Fernandez,6,Rookie Kings,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2022-23,Topps Chrome UEFA UCL,Kylian Mbappé,BB-10,Best of the Best,,,5/31/2024,Facebook,$5.00,1/15/25,4.25,,,,,-0.75,-0.1500
,2022-23,Topps Chrome UEFA UCL,Kaka,198,Legends Green /199,,,5/31/2024,Facebook,$5.00,7/11/24,4.06,,,,,-0.94,-0.1880
,2022-23,Donruss,John Arne Riise,BA-JAR,Auto,,,5/31/2024,Facebook,$5.00,6/17/24,6,,,,,1.00,0.2000
,2022-23,Topps Match Attax,Kingsley Coman,,UCL Title Winner,,,5/31/2024,Facebook,$5.00,7/18/24,4.48,,,,,-0.52,-0.1040
,2022-23,Topps Chrome UEFA UCL,Heung-min Son,5,Yellow foil /299,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2022-23,Illusions,De’Von Achane,9,Mystique,,,5/31/2024,Facebook,$5.00,,,,,,,,
,2022-23,Select UEFA,Tim Howard,SS-TH,Blue Auto,,,5/31/2024,Facebook,$5.00,6/25/24,9.06,,,,,4.06,0.8120
,2021-22,Mosaic,LeBron James,298,Green,,,5/31/2024,Facebook,$2.00,,,,,,,,
,2022-23,Bowman Chrome,Aaron Judge,59,Mojo refractor,,,5/31/2024,Facebook,$0.00,,,,,,,,
,2022-23,Bowman,Shohei Ohtani,51,,,,5/31/2024,Facebook,$0.00,,,,,,,,
,2022-23,Donruss,Ja’Maar Chase,196,Press Proof Gold,,,5/31/2024,Facebook,$20.00,8/3/24,20,,,,,0.00,0.0000
,2020-21,Topps Finest UEFA UCL,Youssoufa Moukoko,29,,,,6/2/2024,Santa Clara card show,$4.00,,,,,,,,
,2020-21,Topps Chrome UEFA UCL,Youssoufa Moukoko,55,RC blue ice,,,6/2/2024,Santa Clara card show,$5.00,,,,,,,,
,2022-23,Select Premier League,Alejandro Garnacho,244,RC Multicolor,,,6/2/2024,Santa Clara card show,$8.00,,,,,,,,
,2022-23,Select Premier League,Alejandro Garnacho,244,RC Red,,,6/2/2024,Santa Clara card show,$8.00,,,,,,,,
,2014-15,Topps Chrome,Johnny Manziel,169,RC auto,Authentic,,6/2/2024,Santa Clara card show,$35.00,,,,,,,,
,,,Antony,,,,,5/31/2024,eBay,$16.40,,,,,,,,
,,,van der Saar,,,,,5/31/2024,eBay,$16.40,,,,,,,,
,2023-24,Skybox Metal Universe Champions,Joel Dahmen,,PMG Red RC /100,,,6/5/2024,eBay,$10.50,,,,,,,,
,2023-24,Donruss,Steph Curry,1,Bomb Squad Pink /50,,,6/6/2024,eBay,$64.31,,,,,,,,
,2008-09,Topps Chrome,Pau Gasol,16,Refractor,,,6/12/2024,eBay,$16.35,,,,,,,,
,2008-09,Topps,Pau Gasol,16,Gold Border /2008,,,6/12/2024,eBay,$4.38,,,,,,,,
,2016-17,Panini Gold Standard,Luol Deng,,Black Refractor /15,,,6/12/2024,eBay,$7.64,,,,,,,,
,2023-24,Bowman Chrome University,Cameron Brink,75,RC,,,6/12/2024,eBay,$2.69,,,,,,,,
,2022’,Topps Carnaval UEFA,Jadon Sancho,186,Orange Samba /25,,,6/12/2024,eBay,$3.71,,,,,,,,
,2023-24,Prizm,Kobbie Mainoo,,Orange Hyper,,,6/12/2024,eBay,$24.98,,,,,,,,
,2023-24,Bowman Chrome University,Angel Reese,49,RC,,,6/12/2024,eBay,$2.69,,,,,,,,
,2020-21,Topps UEFA Champions League,Cole Palmer,80,RC,,,6/12/2024,eBay,$2.69,,,,,,,,
,2023-24,Prizm,James Ward-Prowse,,Red Lazer /49,,,6/12/2024,eBay,$2.69,,,,,,,,
,2022-23,Panini FIFA World Cup,Nicky Butt,NBT,Auto Gold Breakaway /10,,,6/12/2024,eBay,$75.60,,,,,,,,
,2023-24,Prizm,Bryce Young,311,Green RC,,,6/15/2024,SJ Card Show,$20.00,,,,,,,,
,2023-24,Prizm,Rashee Rice,350,Neon Green Pulsar RC,,,6/15/2024,SJ Card Show,$5.00,,,,,,,,
,2020-21,Donruss Optic,Justin Herbert,153,Blue Hyoper Prizm RC,SGC 9.5,,6/15/2024,SJ Card Show,$115.00,,,,,,,,
,2023-24,Mosaic,Jammer Gibbs,324,Reactive Blue RC,,,6/15/2024,SJ Card Show,$5.00,,,,,,,,
,2023-24,Prizm,Davante Adams,171,Purple Ice,10,,6/15/2024,SJ Card Show,$25.00,6/19/24,29.92,,,,,4.92,0.1968
,2023-24,Prizm,Jordan Addison,368,Purple Pulsar RC,10,,6/15/2024,SJ Card Show,$100.00,,,,,,,,
,2021-22,Leaf Metal Draft,Amon-ra St Brown,BA-ARS,/20 Auto,,,6/15/2024,SJ Card Show,$25.00,,,,,,,,
,2020-21,Spectra,Jason Williams,IL,/25 auto,,,6/18/2024,Facebook,$51.50,,,,,,,,
,2023-24,Prizm,Bryce Young,311,RWB RC,,,6/18/2024,Facebook,$15.45,,,,,,,,
,1996-97,Flair Showcase,Kobe Bryant,Row 2 Seat 31,RC,,,6/18/2024,Facebook,$63.86,,,,,,,,
,2020-21,Prizm,Chase Young,383,Silver Auto RC,,,6/19/2024,eBay,$27.28,,,,,,,,
,2014-15,Prizm,Jadaveon Clowney,285,Shield RC /75,,,6/19/2024,eBay,$14.81,,,,,,,,
,2023-24,Prizm,Jordan Addison,368,Blue Shimmer /99 RC,9,,6/20/2024,Facebook,$135.00,,,,,,,,
,2023-24,Spectra,Anthony Richardson,,Rookie patch /25,,,6/20/2024,Facebook,$80.00,,,,,,,,
,2021-22,Legacy,Jaylen Waddle,FP-JW,Patch auto yellow diamond /10,,,6/20/2024,Facebook,$105.00,,,,,,,,
,2020-21,Prizm,Chase Young,383,Pink Auto RC,,,6/20/2024,eBay,$79.84,,,,,,,,
,,,Michael Jordan,23,,,,6/20/2024,Facebook,$10.00,,,,,,,,
,,,Kobe Bryant,TT2,,,,6/20/2024,Facebook,$15.00,,,,,,,,
,,,Allen Iverson,,Electrifying,,,6/20/2024,Facebook,$35.00,,,,,,,,
,,,Michael Jordan,,Boss,,,6/20/2024,Facebook,$26.00,,,,,,,,
,,,Michael Jordan,SQ30,,,,6/20/2024,Facebook,$5.00,,,,,,,,
,,,Kobe Bryant,81,,,,6/20/2024,Facebook,$15.00,,,,,,,,
,,,Kobe Bryant,SQ13,,,,6/20/2024,Facebook,$1.00,,,,,,,,
,,,Kobe Bryant,171,,,,6/20/2024,Facebook,$3.00,,,,,,,,
,,,Michael Jordan,212,,,,6/20/2024,Facebook,$10.00,,,,,,,,
,2022-23,Select Premier League,Alejandro Garnacho,244,RC Red,,,6/26/2024,Whatnot,$5.00,,,,,,,,
,,,Alejandro Garnacho,,,,,6/26/2024,Whatnot,$5.00,1/15/25,5.1,,,,,0.10,0.0200
,,,Alejandro Garnacho,,,,,6/26/2024,Whatnot,$5.00,1/15/25,5.1,,,,,0.10,0.0200
,,,Alejandro Garnacho,,,,,6/26/2024,Whatnot,$5.00,,,,,,,,
,1998-99,Topps Chrome,Dikembe Mutombo,SB24,Refractor,,,6/30/2024,eBay,$7.94,,,,,,,,
,2001-02,Flair Showcase,Mike Bibby,,Auto,,,6/30/2024,eBay,$1.83,,,,,,,,
,2023-24,Select La Liga,Mason Greenwood,,Green /5,,,6/23/2024,eBay,$30.37,,,,,,,,
,2020-21,Prizm,Mason Greenwood,15,Silver Prizm,,,6/20/2024,eBay,$2.20,,,,,,,,
,2006-07,Panini FIFA World Cup,Cristiano Ronaldo,169,,9,,7/4/2024,eBay,$211.40,,,,,,,,
,2022-23,Revolution,Jonny Evans,,/15,,,7/7/2024,eBay,$5.02,,,,,,,,
,1996-97,Fleer Metal,Kobe Bryant,181,RC,,,7/22/2024,eBay,$12.50,,,,,,,,
,,Prizm,Ruud van Nistelrooy,,red auto,,,7/25/2024,Facebook,$40.00,,,,,,,,
,2008-09,Modena,Lionel Messi,217,,6,,7/25/2024,Facebook,$57.00,,,,,,,,
,2008-09,Modena,Cristiano Ronaldo,222,,6,,7/25/2024,Facebook,$57.00,,,,,,,,
,2021-22,Mosaic,Scott McTominay,SM-SMT,Gold script auto /25,"10, 9.5",,7/26/2024,eBay,$81.03,,,,,,,,
,2023-24,Donruss,David Beckham,,/199 auto,,,7/28/2024,eBay,$174.26,,,,,,,,
,2022-23,Topps Finest,Cristiano Ronaldo,PF10,Green Lava /99,10,,7/29/2024,eBay,$212.60,,,,,,,,
,2020-21,Prizm,Marcus Rashford,12,Kaboom,,,7/29/2024,eBay,$146.31,,,,,,,,
,,SP Authentic,Michelle Wie,,Rookie Auto,,,8/3/2024,eBay,$73.69,,,,,,,,
,2023-24,Prizm,Austin Reaves,,Silver Prizm,,,8/3/2024,eBay,$2.00,,,,,,,,
,2020-21,Topps Chrome UEFA UCL,Brandon Williams,,Aqua /199,,,8/3/2024,eBay,$2.00,,,,,,,,
,2023-24,Crown Royale,Jalen Hood-Schinfino,100,RC,,,8/3/2024,eBay,$2.00,,,,,,,,
,2014-15,Panini FIFA World Cup,Ronaldo Messi,19,Yellow Red Pulsar,PSA 8,,8/1/2024,eBay,$448.95,,,,,,,,
,1997-98,Metal Universe,Kobe Bryant,3,Planet Metal,6,,8/3/2024,East Bay,$130.00,,,,,,,,
,1999-2000,Skybox,Jud Buechler,,Auto,,,8/4/2024,eBay,$9.59,,,,,,,,
,2023-24,Topps Chrome,Roy Keane/Paul Scholes,,Auto /25,,,8/11/2024,eBay,$241.82,,,,,,,,
,1996-97,Topps,Kobe Bryant,138,RC,9,,8/11/2024,Facebook,$123.00,,,,,,,,
,2023-24,Donruss,David Beckham,25,Kaboom,,,8/11/2004,eBay,$378.74,,,,,,,,
,2023-24,Topps Chrome,Andy Cole/Dwight Yorke,,Auto /25,,,8/12/2024,eBay,$217.27,,,,,,,,
,2023-24,Prizm,Kobbie Mainoo,,Emergent /5,,,8/20/2024,eBay,$370.38,,,,,,,,
,,Immaculate,Diogo Dalot,,/98,,,9/15/2024,HK,$12.82,,,,,,,,
,,Indelible,Aaron Wan-Bissaka,,Auto /95,,,9/15/2024,HK,$41.03,,,,,,,,
,1997-98,Topps,Dennis Rodman,,Rock Stars,9,,2/22/2025,SJ Card Show,$50.00,,,,,,,,
,1997-98,SP Authentic,Dennis Rodman,,Profiles,4,,2/22/2025,SJ Card Show,$10.00,,,,,,,,
,1998-99,Topps Stadium Club,Alonzo Mourning,,Illuminator,8,,2/22/2025,SJ Card Show,$60.00,,,,,,,,
,1996-97,Merlin Premier Gold,Spurs lot,,,,,,,$0.00,8/28/24,10.5,,,,,10.50,
,1996-97,Merlin Premier Gold,West ham lot,,,,,,,$0.00,8/28/24,10.5,,,,,10.50,
,,,Ronaldo,15,Rookie,BGS 9.5,,10/12/2024,,$878.48,,,,,,,,
,,,Ronda Rousey,,Kaboom,PSA 10,,11/4/2024,,$494.29,,,,,,,,
,,,van der Saar,,Gold auto /5,10,,11/12/2024,,$220.60,,,,,,,,
,,,Scott McTominay,,Gold /10,,,11/15/2024,,$60.62,,,,,,,,
,,,Kobbie Mainoo,,RC /99 patch,,,11/16/2024,,$40.58,,,,,,,,
,,,Davante Adams,,Downtown,,,11/16/2024,,$303.42,,,,,,,,
,,,Andre Onana,,Gold /10,,,11/20/2024,,$17.18,,,,,,,,
,,,Chicharito,,National Landmarks,,,12/2/2024,,$185.20,,,,,,,,
,,,Mason Greenwood,,Green /9,,,12/6/2024,,$42.49,,,,,,,,
,,,Alex Ferguson,,,,,12/18/2024,,$47.79,,,,,,,,
,,,Jose Mourinho,,Manager Rookie,6,,12/18/2024,,$109.03,,,,,,,,
,,,Bobby Charlton,,,,,12/18/2024,,$82.64,,,,,,,,
,,,Bobby Charlton,,Cadet Sweets,9,,12/19/2024,,$115.55,,,,,,,,
,,,Hakeem Olajuwon,,Triiumvirate,,,12/28/2024,,$37.90,,,,,,,,
,,,Rickie Fowler,,Rookie auto,Authentic,,2/24/2025,,$116.29,,,,,,,,
,,,Ian Harkes,,Orange /25,,,2/25/2025,,$36.00,,,,,,,,
,,,Amad Diallo,,Gold /10,,,3/1/2025,,$179.70,,,,,,,,
,,,Scott McTominay,,Match worn /10,,,3/2/2025,,$87.00,,,,,,,,
,,,Kobbie Mainoo,,RC Gold /10,,,3/3/2025,,$244.00,,,,,,,,
,,,Mason Greenwood,,Gold /10,,,3/22/2025,,$103.18,,,,,,,,
,,,Tiger Woods,,PMG red /100,8,,3/28/2025,,$296.53,,,,,,,,
,,,Colin Morikawa,,PMG blue /50,,,4/2/2025,,$18.20,,,,,,,,
,,,Tiger Woods,,Jambalaya,,,4/4/2025,,$139.40,,,,,,,,
,,,Scott McTominay,,Green /5,,,4/11/2025,,$70.21,,,,,,,,
,,,Scott McTominay,,White Sparkle,,,4/18/2025,,$30.79,,,,,,,,
,,,Casemiro,,Purple breakaway /25,,,4/18/2025,,$9.45,,,,,,,,
,,,Scott McTominay,,Gold /10,,,4/20/2025,,$46.02,,,,,,,,
,,,Dennis Rodman,,Refractor,9,,4/30/2025,,$246.90,,,,,,,,
,,,Victor Oshimhen,,Kaboom,,,5/4/2025,,$140.96,,,,,,,,
,,,Kobbie Mainoo,,Gold /10,,,5/7/2025,,$107.59,,,,,,,,
,,,Leny Yoro,,Green /5,,,5/11/2025,,$83.60,,,,,,,,
,,,Toby Collyer,,RC Green /5,,,5/11/2025,,$186.53,,,,,,,,
,,,Max Homa,,Essential Credential,,,5/17/2025,,$30.35,,,,,,,,
,,,Toby Collyer,,RC auto /99,,,5/18/2025,,$59.26,,,,,,,,
,,,Max Homa,,Jambalaya,,,5/19/2025,,$38.76,,,,,,,,
,,,Gylfi Sigurdsson,,Kaboom,,,5/29/2025,,$55.23,,,,,,,,
,,,Kelechi Osemele,,RC Gold /2012,,,5/30/2025,,$2.07,,,,,,,,
,,,Mason Greenwood,,Color Blast,,,5/31/2025,,$141.38,,,,,,,,
,,,Scottie Pippen,,Dunk’n Go Nuts,8.5,,6/3/2025,,$212.62,,,,,,,,
,,,Cristiano Ronaldo,,Silver,9,,6/17/2025,,$376.10,,,,,,,,
,,,Ian Harkes,,,,,6/25/2025,,$2.73,,,,,,,,
,,,Ian Harkes,,/75,,,6/25/2025,,$6.02,,,,,,,,
,,,Rose Zhang,,PMG green /10,,,7/9/2025,,$92.59,,,,,,,,
Pokemon,,,Machoke,177,,10,,4/21/24,,$25.00,,,,,,,,
Pokemon,,,Ivysaur,167,,,,4/21/24,,$5.00,,,,,,,,
Pokemon,,,Watortle,171,,,,4/21/24,,$5.00,,,,,,,,
Pokemon,,,Snorlax,11,,,,5/4/24,,$15.00,,,,,,,,
Pokemon,,,Venusaur,,,,,5/4/24,,$15.00,,,,,,,,
Pokemon,,,Dark Gyarados,,,,,5/4/24,,$15.00,,,,,,,,
Pokemon,,,Venusaur,,1st ed,8,,7/27/25,,$2000.00,,,,,,,,
Pokemon,,,Venusaur,,Shadowless,8,,7/30/25,,$450.00,,,,,,,,
Pokemon,,,Blastoise,,Shadowless,9,,7/30/25,,$1500.00,,,,,,,,
Pokemon,1999,Pokemon Game,Charizard,4,1st Edition Holo,CGC 8,,2025-08-28,Facebook,13000,,,,,,,,
Pokemon,1999,Pokemon Game,Blastoise,2,1st Edition Holo,BGS 9,,2026-05-27,eBay,7000,,,,,,,,
Basketball,1997,Skybox E-X2001,Dennis Rodman,3JB,Jambalaya,BGS 9,,2025-12-19,eBay,3525,,,,,,,,
Pokemon,1999,Pokemon Game,Charizard,4,Shadowless Holo,PSA 7,,2026-07-03,eBay,3050,,,,,,,,
Pokemon,1999,Pokemon Game,Venusaur,15,1st Edition Holo,PSA 8,,2025-07-27,Facebook,2000,,,,,,,,
Golf,2013,Upper Deck Employee Exclusive,Rory McIlroy,,Precious Metal Gems - Purple /125,Raw,,2025-11-24,eBay,1819.56,,,,,,,,
Football,2012,Upper Deck,Jordan James,UD2012,,PSA 9,,2025-09-09,eBay,1500,,,,,,,,
Basketball,1998,Skybox E-X Century,Allen Iverson,5DG,Dunk 'N Go-Nuts,PSA 9,,2025-11-13,eBay,870,,,,,,,,
Basketball,1997,Skybox E-X2001,Keith Van Horn,9JB,Jambalaya,BGS 9,,2025-09-18,eBay,645.02,,,,,,,,
Soccer,2014,Prizm World Cup,Cristiano Ronaldo,161,Silver,PSA 9,,2024-06-17,eBay,338,,,,,,,,
Soccer,2021,Prizm Premier League,Mason Greenwood,,,PSA 10,,2026-03-18,eBay,250,,,,,,,,
Soccer,2006,Panini World Cup,Cristiano Ronaldo,169,Base,PSA 9,,2024-07-04,eBay,189,,,,,,,,
Hockey,2021,Skybox Metal Universe Champions,Bryson DeChambeau,,,PSA 8,,2025-11-21,eBay,137.5,,,,,,,,
Pokemon,1999,Pokemon Game,Snorlax,,,,,8/5/25,eBay,189.7,,,,,,,,
Soccer,2024,Prizm,Kobbie Mainoo,,Green /5,,,11/1/25,,54.28,,,,,,,,
Dragon Ball,1988,Bandai Carddass,Goku,,,PSA 4,,4/15/26,,569.95,,,,,,,,
Captain Tsubasa,1980,Menko,Tsubasa,,,,,4/15/26,,273.75,,,,,,,,
Basketball,1997,E-X2001 Jambalaya,Grant Hill,,,BGS 8.5,,7/26/26,,985.5,,,,,,,,
Basketball,1998,Topps Roundball Royalty,Anfernee Hardaway,,Refractor,PSA 9,,8/2/26,,465.99,,,,,,,,
Basketball,1998,Topps Stadium Club Triumvirate,Antawn Jamison,,Illuminator,,,8/2/26,,36.15,,,,,,,,
Basketball,1997,Skybox Metal Universe,Dikembe Mutombo,,Precious Metal Gems,Authentic,,3/20/26,Goldin,2806,,,,,,,,
Basketball,1996,E-X2000,David Robinson,,Credentials,PSA 8,,3/26/26,Goldin,854,,,,,,,,
Pokemon,1999,Pokemon Game,Venusaur,,1st Ed. Chinese,BGS 8.5,,8/8/25,Goldin,439,,,,,,,,
Pokémon,2025,Journey Together,Lillie’s Clefairy,,,,,8/1/26,Card show,110,,,,,,,,
Pokémon,2003,Best of Game,Team Rocket’s Mewtwo,,Winner stamp,,,8/1/26,Card show,900,,,,,,,,
Final Fantasy,2025,Commander Japanese,Tifa,,,BGS 10,,8/1/26,Card show,600,,,,,,,,
Pokémon,1996,Base,Raichu,,With rarity symbol,,,8/1/26,Card show,300,,,,,,,,
Pokémon,2025,Phantasmal Flames,Meowth,,,,,7/18/26,Card show,25,,,,,,,,
Pokémon,2019,Unified Minds,Mewtwo & Mew GX,SM11,,,,7/18/26,Card show,125,,,,,,,,
