Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Basketball,2023-24,Donruss,LeBron James,7,Bomb Squad,,,4/6/2024,eBay,$1.70,,,,,,,,
Basketball,2023-24,Donruss,LeBron James,7,Bomb Squad,,,4/6/2024,eBay,$1.70,,,,,,,,
Soccer,2021-22,Topps Chrome UEFA UCL,Eric Cantona,99,Refractor,,,4/6/2024,eBay,$3.30,,,,,,,,
Basketball,2023-24,Donruss,Magic Johnson,20,Bomb Squad,,,4/6/2024,eBay,$1.74,,,,,,,,
Football,2014-15,Immaculate,CJ Spiller,54,/99,,,4/7/2024,eBay,$2.18,,,,,,,,
Football,2014-15,Immaculate,Trent Richardson,26,/99,,,4/7/2024,eBay,$2.18,,,,,,,,
Basketball,2021-22,Prizm,Anthony Davis,4,Fearless Fast Break Disco Prizm,,,4/7/2024,eBay,$2.43,,,,,,,,
Basketball,1988-89,SP Authentic,Dennis Rodman,45,Base,,,4/7/2024,eBay,$3.46,,,,,,,,
Soccer,2021-22,Topps UEFA Stadium Club Chrome,Paul Scholes,62,Black and White /299,,,4/8/2024,eBay,$6.57,,,,,,,,
Basketball,1988-89,Fleer,Dennis Rodman,43,Rookie,,,4/8/2024,eBay,$21.80,,,,,,,,
Basketball,1991-92,Upper Deck,Jud Buechler,334,Rookie Auto,,,4/9/2024,eBay,$3.43,,,,,,,,
Basketball,2005-06,Topps Bazooka,Sasha Vujacic,202,Rookie,,,4/10/2024,San Mateo,$1.00,,,,,,,,
Basketball,2021-22,Mosaic,Mike Evans,TM8,Silver Prizm,,,4/10/2024,San Mateo,$3.00,,,,,,,,
Football,2017-18,Donruss,Marshawn Lynch,241,Blue Press Proof,,,4/10/2024,San Mateo,$1.00,,,,,,,,
Basketball,2007-08,Topps Stadium Club,Joakim Noah,109,Refractor /999,,,4/10/2024,San Mateo,$5.00,,,,,,,,
Basketball,2019-20,NBA Hoops,Aaron Gordon,137,Flash Prizm,,,4/10/2024,San Mateo,$1.00,,,,,,,,
Basketball,2018-19,Panini Contenders,Lonzo Ball,20,Base,,,4/10/2024,San Mateo,$1.00,,,,,,,,
Football,2013-14,Topps,Matthew Stafford,2,4000 yard club,,,4/10/2024,San Mateo,$1.00,,,,,,,,
Football,2021-22,Panini Chronicles,Justin Herbert,MAG-18,Magnitude,,,4/10/2024,San Mateo,$3.00,,,,,,,,
Basketball,2007-08,Topps Co-signer,Joakim Noah / Luol Deng,91,Silver foil /19,,,4/11/2024,eBay,$16.35,,,,,,,,
Football,2014-15,Topps Chrome,Derek Carr,18,1985 mini refractor /50,,,4/11/2024,eBay,$21.94,,,,,,,,
Soccer,2021-22,Prizm,Scott McTominay,280,Blue Breakaway /199,,,4/11/2024,eBay,$2.75,,,,,,,,
WWE,2023-24,Prizm,Ronda Rousey,194,Teal Prizm /49,,,4/11/2024,eBay,$16.35,,,,,,,,
Basketball,2004-05,Flair,Luol Deng,61,Rookie,,,4/11/2024,eBay,$2.73,,,,,,,,
Basketball,2023-24,Donruss,Steph Curry,1,Bomb Squad Purple /99,,,4/12/2024,Facebook,$20.00,2/25/25,85.78,,,20,,45.78,1.1445
Basketball,2023-24,Prizm Draft Picks,Victor Wembanyama,2,Rookie,,,4/12/2024,Facebook,$4.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Victor Wembanyama,2,Rookie,,,4/12/2024,Facebook,$4.00,,,,,,,,
Basketball,2023-24,Donruss,Kobe Bufkin,204,Rookie holo red and green laser /75,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Keyonte George,244,Rookie,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Luka Doncic,5,Complete Players,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Cam Whitemore,3,Great Expectations,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Scoot Henderson,8,Great Expectations,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Dariq Whitehead,19,Great Expectations,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Marcus Sasser,25,Great Expectations,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Kawhi Leonard,12,T-Minus,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,LeBron James,10,Magician,,,4/12/2024,Facebook,$1.00,,,,,,,,
